X,Y
-0.06863049015214867,-0.024675856054825977
-3.3466562490070957,6.202217687856186
-6.637237582524821,12.422465529610765
-9.940374490705327,18.636067669208902
-13.25606697354861,24.843024106650606
-16.584315031054672,31.043334841935877
-19.925118663223515,37.23699987506471
-23.278477870055138,43.4240192060371
-26.644392651549534,49.604392834853066
-30.022863007706714,55.77812076151259
-33.41388893852616,61.945202986014756
-36.82679952751382,68.09925957050791
-40.238948697740895,74.25544247389038
-43.65433908146122,80.41116244392634
-47.091925926306445,86.55438585611833
-50.54309157088547,92.69160117426105
-54.025430475057334,98.81228978300376
-57.53051222921151,104.91815926850421
-61.050566857085215,111.01212597222492
-64.58170243456713,117.09838229758319
-68.15045391448153,123.16272361892949
-71.77210486461712,129.19677837952366
-75.42891198195186,135.20968238584973
-79.09060231148871,141.21857233476524
-82.75054870024317,147.22754066655426
-86.43263180522759,153.22296921598723
-90.14787731821778,159.20122664799942
-93.85905723185601,165.1816104755398
-97.53188720769951,171.18233368503442
-101.14402960288348,177.21577843738126
-104.66138439210616,183.3025980031311
-108.07038624847112,189.45153262282327
-111.41823578393718,195.6351539815417
-114.75547347875731,201.82274567503197
-118.06010192732549,208.03071858004665
-121.29067123063052,214.28860209373693
-124.52570885237787,220.54334431349972
-127.83869894839903,226.7451021658387
-131.2288448666674,232.89685601451737
-134.68800867609303,239.00519293491723
-138.24654751961594,245.0529057770304
-141.88676125191117,251.05047341906914
-145.55160325905626,257.0349440941345
-149.23949119041876,263.0106231826232
-153.0506088206444,268.9107856787444
-157.09353557129214,274.66584770014055
-161.47819637396515,280.35616559560697
-166.2195008491522,286.1591650332497
-171.09742956423884,292.15158421800885
-175.80137866258386,298.3675877298022
-180.0652460002609,304.72642016951227
-183.6996885472454,311.0004236702598
-186.53125772739276,317.0529567808949
-188.38985982251648,322.75658377536456
-189.1325834094759,327.99264145136584
-188.72790966931126,332.59481331333717
-187.21175380041495,336.4255396942205
-184.58263023281586,339.4417615848653
-180.84187076016985,341.6286990283727
-176.07162791412532,342.9536698307135
-170.39146081844007,343.4069790539121
-163.9490985367339,343.01301464396147
-156.9272791920697,341.8278476251083
-149.5745064281896,339.91772955266896
-142.18409076321936,337.3598776986761
-135.00643763463887,334.304374455463
-128.2068563292582,331.0146607566382
-121.69917215098305,327.7816228683937
-115.28560485939883,324.6527108797545
-108.90095195151143,321.60195381096514
-102.54603163982061,318.554259306478
-96.24301091957334,315.4075224933963
-89.97985197228672,312.2089189943632
-83.74700299893036,308.9609977065328
-77.54377076270933,305.65689705231813
-71.37357694084716,302.2888060500917
-65.22104024101083,298.89390795003465
-59.059910638495126,295.52015608811007
-52.87501324526092,292.184926662588
-46.67141114276697,288.8764849449182
-40.469671653751604,285.56070372078227
-34.30115264189228,282.18782155151905
-28.187554874517872,278.7248533355955
-22.102092582515606,275.2164922072268
-16.0305889698688,271.68212695415093
-9.944629559670341,268.14934696937803
-3.8486485031902236,264.6240723274474
2.235221326765891,261.10063137925044
8.253985586741072,257.4872299581233
14.173705972275567,253.72990935130542
19.998527026245178,249.83473429288597
25.724532043403975,245.79097504720718
31.373910053596873,241.63516726084737
36.972677081117375,237.40605097732896
42.52702407678769,233.10867816582243
48.034092175049466,228.74126723378123
53.49351116934497,224.31237726670008
58.9400986556875,219.87312662514182
64.39506601777191,215.4459863588259
69.83346688136916,210.99104333218344
75.21537557976815,206.4573825414099
80.53887448804805,201.83826057153067
85.83183877534906,197.17345133497565
91.10775039452963,192.50420763719265
96.346848739654,187.80987209051602
101.54119919981788,183.07399801482754
106.65318263255179,178.25293710451834
111.64004117057064,173.3057017450829
116.4994557360954,168.23283047827894
121.2740077246465,163.07340960560327
125.98699110699498,157.85360888605143
130.6262255215678,152.56630841240693
135.21248608389436,147.2305845525702
139.7880131505293,141.8843175530546
144.34681137270482,136.521973028327
148.86094457148997,131.11877956855733
153.335138952293,125.68037283412055
157.81292886297058,120.24960607828103
162.32362975023108,114.85033737570433
166.8646541081908,109.4767132069888
171.41835497452195,104.11356424054111
175.97564588086132,98.75386297338522
180.5177879261807,93.38169337908631
185.02444817904873,87.97944807541941
189.5150943366683,82.56359216381313
194.0162059419969,77.1564230392213
198.53471299753332,71.76300455225021
203.04934080183003,66.36441205515007
207.56984143433783,60.97008838284586
212.1254454139853,55.606950678021484
